bookID,title,authors,average_rating,isbn,isbn13
76,Heirs of General Practice,John McPhee,4.15,374519749,9.78E+12
77,The Control of Nature,John McPhee,4.24,374522596,9.78E+12
78,Annals of the Former World,John McPhee,4.33,374518734,9.78E+12
79,Coming Into the Country,John McPhee,4.22,374522871,9.78E+12
80,La Place de la Concorde Suisse,John McPhee,3.91,374519323,9.78E+12
81,Giving Good Weight,John McPhee,4.22,374516006,9.78E+12
83,Rising from the Plains,John McPhee,4.22,374520658,9.78E+12
85,The Heidi Chronicles,Wendy Wasserstein,3.73,822205106,9.78E+12
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.83,679734996,9.78E+12
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9.78E+12
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.75,1581807740,9.78E+12
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker-Rolland Baker,4.45,800793617,9.78E+12
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.7,871202867,9.78E+12
93,Heidi,Johanna Spyri-Beverly Cleary-Angelo  Rinaldi,3.98,753454947,9.78E+12
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.28,871209993,9.78E+12
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker-Heidi Baker,4.45,1852402873,9.78E+12
98,What to Expect the First Year (What to Expect),Heidi Murkoff-Sharon Mazel-Heidi Murkoff-Arlene Eisenberg-Sandee Hathaway-Mark D. Widome,3.88,761129588,9.78E+12
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss-Libby Keatinge,3.82,972016414,9.78E+12
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.75,1581805632,9.78E+12
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.83,441294677,9.78E+12
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.9,441102670,9.78E+12
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.87,441172695,9.78E+12
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4,765306476,9.78E+12
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.85,399128980,9.78E+12
110,The Road to Dune (Dune Universe),Frank Herbert-Brian Herbert-Kevin J. Anderson,3.87,765353709,9.78E+12
112,Children of Dune (Dune Chronicles #3),Frank Herbert,3.92,441104029,9.78E+12
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.85,441328008,9.78E+12
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9.78E+12
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,385732546,9.78E+12
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell-Stephen R. Graves-Thomas G. Addington,4.28,785260056,9.78E+12
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.31,471780936,9.78E+12
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.79,325001537,9.78E+12
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.49,006076287X,9.78E+12
133,eBay for Dummies,Marsha Collier,3.5,470045299,9.78E+12
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta-Lisa Suttora,3.62,72262788,9.78E+12
137,Starting an eBay Business for Dummies,Marsha Collier,3.52,764569244,9.78E+12
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,471933821,9.78E+12
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.55,764559915,9.78E+12
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,764584383,9.78E+12
141,Ruby Cookbook,Lucas Carlson-Leonard Richardson,3.82,596523696,9.78E+12
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.09,806523492,9.78E+12
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,806525363,9.78E+12
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.65,596527314,9.78E+12
151,Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky,4.04,143035002,9.78E+12
152,Anna Karenina,Leo Tolstoy-David Magarshack-Priscilla Meyer,4.04,451528611,9.78E+12
153,Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky-John Bayley,4.04,140449175,9.78E+12
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman-Leo Tolstoy,3.89,822001837,9.78E+12
155,Anna Karenina,Leo Tolstoy-Amy Mandelker-Constance Garnett,4.04,1593080271,9.78E+12
156,Anna Karenina,Leo Tolstoy-Louise Maude-Aylmer Maude,4.04,486437965,9.78E+12
157,Anna Karenina,Leo Tolstoy-Constance Garnett-Amy Mandelker,4.04,1593081774,9.78E+12
159,Dinner with Anna Karenina,Gloria Goldreich,2.96,778322270,9.78E+12
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,521313252,9.78E+12
162,Untouchable,Mulk Raj Anand-E.M. Forster,3.7,140183957,9.78E+12
163,The Untouchable,John Banville,3.96,679767479,9.78E+12
164,The Untouchables,Eliot Ness-Oscar Fraley,3.89,1568491980,9.78E+12
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,743270797,9.78E+12
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar-Y.N. Kly,4.33,932863051,9.78E+12
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon-Gail Omvedt-Eleanor Zelliot,3.58,742508803,9.78E+12
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,205358624,9.78E+12
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello-Patty Carratello-Theresa Wright,3.94,1557344035,9.78E+12
180,Wrinkles in Time,George Smoot-Keay Davidson,3.99,380720442,9.78E+12
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.01,821925326,9.78E+12
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.57,043927169X,9.78E+12
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.01,606105263,9.78E+12
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.11,751506435,9.78E+12
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,9.78E+12
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor-Charley Boorman-Robert Uhlig,3.94,743499344,9.78E+12
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,765313405,9.78E+12
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford-James Lee Burke,3.91,1400032490,9.78E+12
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford-Lawrence Block,4.04,1400032482,9.78E+12
216,Miami Blues (Hoke Mosely #1),Charles Willeford-Elmore Leonard,3.94,1400032466,9.78E+12
231,I am Charlotte Simmons,Tom Wolfe,3.41,312424442,9.78E+12
237,Poetry for Young People: Edward Lear,Edward Lear-Laura Huliska-Beith-Edward Mendelson,3.9,806930772,9.78E+12
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.04,140366601,9.78E+12
245,Henry Miller on Writing,Henry Miller-Thomas H. Moore,4.23,811201120,9.78E+12
247,Quiet Days in Clichy,Henry Miller,3.69,080213016X,9.78E+12
249,Tropic of Cancer,Henry Miller-Jiří Níl,3.69,802131786,9.78E+12
250,Tropic of Capricorn,Henry Miller,3.82,802151825,9.78E+12
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.09,802151787,9.78E+12
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,4.04,802151809,9.78E+12
253,The Air-Conditioned Nightmare,Henry Miller,3.83,811201066,9.78E+12
264,The Portrait of a Lady,Henry James-Patricia Crick,3.77,141439637,9.78E+12
269,The Portrait of a Lady,Henry James-Gabriel Brownstein-Mary Cregan,3.77,1593080964,9.78E+12
275,The Lover,Marguerite Duras-Barbara Bray-Maxine Hong Kingston,3.75,375700528,9.78E+12
278,The War,Marguerite Duras-Barbara Bray-قلسم روبین,3.85,1565842219,9.78E+12
280,The Ravishing of Lol Stein,Marguerite Duras-Richard Seever,3.67,394743040,9.78E+12
281,Destroy  She Said,Marguerite Duras-Barbara Bray-Helen Lane Cumberford,3.68,080215154X,9.78E+12
283,L'Amant de la Chine du Nord,Marguerite Duras,3.89,2070388093,9.78E+12
285,Love Letters,Kahlil Gibran-Suheil Bushrui-Salma H. Al-Kuzbari,3.67,1851681825,9.78E+12
288,Kahlil Gibran: His Life and World,Jean Gibran-جبران خليل جبران-Kahlil Gibran,4.2,156656249X,9.78E+12
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran-John Walbridge-Robin Waterfield,4.19,014019553X,9.78E+12
290,Jesus the Son of Man,Kahlil Gibran-جبران خليل جبران,3.98,394431243,9.78E+12
291,The Broken Wings,Kahlil Gibran-جبران خليل جبران-Anthony R. Ferris,3.92,806501901,9.78E+12
292,Sand and Foam,Kahlil Gibran-جبران خليل جبران,4.08,067943920X,9.78E+12
295,Treasure Island,Robert Louis Stevenson,3.83,753453800,9.78E+12
296,Treasure Island,Robert Louis Stevenson-Scott McKowen,3.83,1402714572,9.78E+12
297,Treasure Island,Robert Louis Stevenson,3.83,1416500294,9.78E+12
298,Treasure Island,Robert Louis Stevenson-N.C. Wyeth-Timothy Meis,3.83,689854684,9.78E+12
299,Treasure Island,Robert Louis Stevenson-Milo Winter,3.83,517221144,9.78E+12
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken-A.J. McAllister-Robert Louis Stevenson,4.04,1577658051,9.78E+12
304,Daniel Deronda,George Eliot-Edmund White,3.83,037576013X,9.78E+12
313,100 Years of Lynchings,Ralph Ginzburg,4.63,933121180,9.78E+12
320,One Hundred Years of Solitude,Gabriel García Márquez-Gregory Rabassa,4.06,60531045,9.78E+12
324,Cien años de soledad,Gabriel García Márquez,4.06,785950109,9.78E+12
325,Cien años de soledad,Gabriel García Márquez,4.06,8423919005,9.79E+12
330,On Beyond Zebra!,Dr. Seuss,4.04,394800842,9.78E+12
332,The Wedding Clause,Debbie Raleigh,3.58,821778250,9.78E+12
333,The Zebra Wall,Kevin Henkes,3.46,60733039,9.78E+12
337,El perfume: Historia de un asesino,Patrick Süskind,4.02,8432216062,9.79E+12
338,Jitterbug Perfume,Tom Robbins,4.24,553348981,9.78E+12
343,Perfume: The Story of a Murderer,Patrick Süskind-John E. Woods,4.02,140120831,9.78E+12
347,Off the Main Sequence: The Other Science Fiction Stories of Robert A. Heinlein,Robert A. Heinlein,4.01,1582881847,9.78E+12
348,The Door Into Summer,Robert A. Heinlein,4.01,345413997,9.78E+12
349,The Moon is a Harsh Mistress,Robert A. Heinlein,4.17,312863551,9.78E+12
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,441788386,9.78E+12
352,The Notebooks of Lazarus Long,Robert A. Heinlein-Stephen Hickman,4.07,074348844X,9.78E+12
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,441748600,9.78E+12
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,345316509,9.78E+12
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,765314932,9.78E+12
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,671742515,9.78E+12
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.92,345455290,9.78E+12
360,Mostly Harmless (Hitchhiker's Guide to the Galaxy  #5),Douglas Adams,3.97,345418778,9.78E+12
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,345476514,9.78E+12
367,Douglas Adams's Starship Titanic,Terry Jones,3.6,345368436,9.78E+12
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams-Christopher Cerf,3.92,1417622857,9.78E+12
378,The Phantom Tollbooth,Norton Juster-Jules Feiffer,4.21,394820371,9.78E+12
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus-Norton Juster,4.1,573650969,9.78E+12
385,On Bullshit,Harry G. Frankfurt,3.57,691122946,9.78E+12
386,Another Bullshit Night in Suck City,Nick Flynn,3.78,393329402,9.78E+12
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.13,671867423,9.78E+12
397,The Gettysburg Address,Abraham Lincoln-Michael McCurdy,4.53,395883970,9.78E+12
399,Underworld,Don DeLillo,3.92,684848155,9.78E+12
400,Libra,Don DeLillo,3.99,140156046,9.78E+12
402,Mao II,Don DeLillo,3.68,140152741,9.78E+12
403,Americana,Don DeLillo,3.43,140119485,9.78E+12
404,Running Dog,Don DeLillo,3.42,679722947,9.78E+12
406,Cosmopolis,Don DeLillo,3.22,743244257,9.78E+12
407,Great Jones Street,Don DeLillo,3.48,140179178,9.78E+12
408,The Names,Don DeLillo,3.64,679722955,9.78E+12
409,Against the Day,Thomas Pynchon,4.12,159420120X,9.78E+12
410,V.,Thomas Pynchon,3.96,60930217,9.78E+12
411,The Crying of Lot 49,Thomas Pynchon,3.7,60931671,9.78E+12
412,Gravity's Rainbow,Thomas Pynchon,4.02,140283382,9.78E+12
413,Mason & Dixon,Thomas Pynchon,4.06,312423209,9.78E+12
414,Vineland,Thomas Pynchon,3.68,141180633,9.78E+12
415,Gravity's Rainbow,Thomas Pynchon,4.02,143039946,9.78E+12
416,Slow Learner: Early Stories,Thomas Pynchon,3.5,316724432,9.78E+12
418,Been Down So Long It Looks Like Up To Me,Richard Fariña-Thomas Pynchon,3.81,140189300,9.78E+12
420,The Year of Magical Thinking,Joan Didion,3.88,140004314X,9.78E+12
421,The White Album,Joan Didion,4.17,374522219,9.78E+12
422,A Book of Common Prayer,Joan Didion,3.8,679754865,9.78E+12
423,Where I Was From,Joan Didion,3.86,679752862,9.78E+12
425,Democracy,Joan Didion,3.81,679754857,9.78E+12
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion-John Leonard,4.49,307264874,9.78E+12
428,Play It as It Lays,Joan Didion-David Thomson,3.87,374529949,9.78E+12
431,The New York Trilogy,Paul Auster-Art Spiegelman-Luc Sante,3.9,143039830,9.78E+12
432,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,140097317,9.78E+12
434,Ghosts (The New York Trilogy  #2),Paul Auster,3.65,014009735X,9.78E+12
435,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,940650762,9.78E+12
444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon-Preston B. Nichols-Nina Helms,3.91,963188925,9.78E+12
446,The Brooklyn Follies,Paul Auster,3.83,312426232,9.78E+12
447,Moon Palace,Paul Auster,3.98,140115854,9.78E+12
449,Timbuktu,Paul Auster,3.68,312263996,9.78E+12
450,Neon Lit: Paul Auster's City of Glass,Paul Karasik-David Mazzucchelli-Paul Auster-Bob Callahan,3.92,038077108X,9.78E+12
453,The Music of Chance,Paul Auster,3.9,140154078,9.78E+12
454,Travels in the Scriptorium,Paul Auster,3.23,805081453,9.78E+12
456,Leviathan,Paul Auster,3.95,140178139,9.78E+12
463,The Red Notebook: True Stories,Paul Auster,3.77,811214982,9.78E+12
466,Timbuktu / Leviathan / Moon Palace,Paul Auster,4.4,2742741461,9.78E+12
472,Why Write?,Paul Auster,3.77,1886224145,9.78E+12
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,143036556,9.78E+12
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb-Glen C. Strathy,3.39,446579785,9.78E+12
477,Collapse of Complex Societies,Joseph A. Tainter,4.13,052138673X,9.78E+12
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.79,743203046,9.78E+12
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.92,034543871X,9.78E+12
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo-Gloria Bird-Beth Cuthand-Valerie Martinez-Patricia Blanco,4.39,393318281,9.78E+12
493,My Inventions,Nikola Tesla,4.01,1599869942,9.78E+12
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer-William H. Terbo,3.77,806519606,9.78E+12
497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.95,822549204,9.78E+12
498,Tesla Papers,Nikola Tesla-David Hatcher Childress,4.12,932813860,9.78E+12
505,The Invention of Tradition,Eric Hobsbawm-Terence O. Ranger-Hugh Trevor-Roper-Prys Morgan-David Cannadine-Bernard S. Cohn,3.96,521437733,9.78E+12
511,Boys of Summer,Julie Elizabeth Leto-Leslie Kelly-Kimberly Raye,3.77,373792689,9.78E+12
515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas-Chad Fowler-Andy Hunt,4.04,974514055,9.78E+12
523,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly-CliffsNotes-William Golding,3.92,764585975,9.78E+12
524,Lord of the Flies,William Golding,3.67,307281701,9.78E+12
525,Lord of the Flies,William Golding-Ben Gibson-E.M. Forster-Edmund L. Epstein,3.67,399529209,9.78E+12
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,812969707,9.78E+12
534,We Were Not Like Other People,Ephraim Sevela-Antonina W. Bouis,4.15,60255080,9.78E+12
537,The Lovely Bones,Alice Sebold,3.79,330485385,9.78E+12
538,The Lovely Bones,Alice Sebold,3.79,159413023X,9.78E+12
539,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.81,345360354,9.78E+12
565,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea-Molly E. Holzschlag,4,321303474,7.85E+11
570,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,321430840,9.78E+12
576,1000 Record Covers,Michael Ochs-Patrick Javault-Ulrike Wasel,3.84,3822840858,9.78E+12
597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.83,743264460,9.78E+12
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.74,743236017,9.78E+12
604,Reefer Madness: Sex  Drugs  and Cheap Labor in the American Black Market,Eric Schlosser,3.77,965762645,9.78E+12
619,Vice (V  #8),Jane Feather,3.51,553572490,9.78E+12
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,3.77,60589469,9.78E+12
639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley-Carol Heyer-Scott Goto,4.08,802789471,9.78E+12
642,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto-Thomas J. Steele,3.72,688060692,9.78E+12
643,Motorcycle Basics Techbook,John Harold Haynes,3.83,185960515X,9.78E+12
650,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel-Bill Gardner,3.96,1592530877,9.78E+12
655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy-Hugh McLean,4.1,451528808,9.78E+12
656,War and Peace,Leo Tolstoy-Henry Gifford-Aylmer Maude-Louise Maude,4.11,192833987,9.78E+12
658,The Kingdom of God Is Within You,Leo Tolstoy-Constance Garnett,4.13,486451380,9.78E+12
661,Hunters Of Dune (Dune Chronicles  #7),Brian Herbert-Kevin J. Anderson,3.65,340837489,9.78E+12
662,Atlas Shrugged,Ayn Rand-Leonard Peikoff,3.68,452011876,9.78E+12
663,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,451163087,9.78E+12
664,The Fountainhead,Ayn Rand,3.86,452286751,9.78E+12
665,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand-Nathaniel Branden,3.5,451163931,9.78E+12
667,Anthem,Ayn Rand,3.63,452281253,9.78E+12
668,We the Living,Ayn Rand-Leonard Peikoff,3.91,451187849,9.78E+12
669,Capitalism: The Unknown Ideal,Ayn Rand-Nathaniel Branden-Alan Greenspan-Robert Hessen,3.87,451147952,9.78E+12
670,Letters of Ayn Rand,Ayn Rand-Michael S. Berliner-Leonard Peikoff,3.97,452274044,9.78E+12
672,Sailing for Dummies,J.J. Isler-Peter Isler,3.94,471791431,9.78E+12
675,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.87,553803816,9.78E+12
676,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,375755195,9.78E+12
678,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.63,1592283195,9.78E+12
681,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.08,975599518,9.78E+12
685,The Natural,Bernard Malamud-Kevin Baker,3.63,374502005,9.78E+12
698,Digging to America,Anne Tyler,3.55,307263940,9.78E+12
700,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo-Bonnie Lisle,3.77,312405545,9.78E+12
702,Modern Latin America,Thomas E. Skidmore-Peter H. Smith,3.59,019517013X,9.78E+12
703,The Plot Against America,Philip Roth,3.75,1400079497,9.78E+12
706,America (The Book): A Citizen's Guide to Democracy Inaction,Jon Stewart-Ben Karlin-David Javerbaum-Rich Bloomquist-Steve Bodow-Tim Carvell-Eric Drysdale-J.R. Havlan-Scott Jacobson-Tom Johnson-Rob Kutner-Chris Regan-Jason Reich-Jason Ross-Stephen Colbert-Samantha Bee-Rob Corddry-Brendan Hay-Ed Helms,4.02,713998946,9.78E+12
707,Naked Pictures of Famous People,Jon Stewart,3.59,688171621,9.78E+12
759,Collected Stories,Gabriel García Márquez-Gregory Rabassa-J.S. Bernstein,4.19,60932686,9.78E+12
762,Crónica de una muerte anunciada,Gabriel García Márquez,3.96,1400034957,9.78E+12
763,Cien años de soledad,Gabriel García Márquez,4.06,307350428,9.78E+12
764,Del amor y otros demonios,Gabriel García Márquez,3.98,307350444,9.78E+12
765,Living to Tell the Tale,Gabriel García Márquez-Edith Grossman,3.98,140003454X,9.78E+12
766,Memoria de mis putas tristes,Gabriel García Márquez,3.59,1400095808,9.78E+12
